"x"	"y"
1905	92130
1906	106743
1907	116706
1908	124963
1909	115501
1910	133602
1911	152876
1912	154976
1913	174980
1914	188498
1915	136099
1916	112823
1917	84718
1918	103156
1919	156733
1920	210738
1921	219367
1922	279004
1923	243648
1924	319801
1925	332236
1926	301194
1927	343078
1928	364271
1929	398812
1930	498435
1931	483402
1932	485288
1933	518275
1934	438569
1935	401891
1936	283586
1937	297816
1938	311316
1939	198351
1940	147347
1941	156242
1942	173146
1943	186017
1944	216677
1945	215947
1946	237937
1947	246197
1948	293334
1949	314554
1950	350355
1951	348482
1952	399943
1953	526061
1954	547530
1955	538130
1956	480709
1957	451909
1958	508683
1959	452504
1960	465023
1961	374916
1962	386876
1963	410050
1964	433605
1965	393636
1966	356755
1967	345022
1968	381070
1969	406411
1970	470757
1971	453052
1972	398528
1973	383446
1974	374770
1975	370991
1976	347849
1977	340050
1978	330390
1979	368064
1980	434344
1981	468659
1982	388387
1983	300056
1984	283822
1985	325267
1986	368633
1987	392257
1988	378076
1989	355954
1990	335390
1991	308560
1992	267767
1993	251979
1994	178809
1995	169424
1996	181658
1997	203153
1998	242632
1999	260052
2000	235687
2001	235374
2002	208777
2003	207551
2004	227589
2005	213584
2006	196276
2007	170622
2008	146579
2009	182421
2010	169153
2011	171700
2012	195826
2013	223274
2014	221343
